Trial_Number,Block_Name,Transition,Cue_Type,Stimulus,Congruency,Reaction_Time_ms,Correct,Timeout,Response_Key
1,Single_color,REPEAT,color,blue_circle,incongruent,120.41620000672992,False,False,d
2,Single_color,REPEAT,color,green_square,incongruent,119.78049999743234,True,False,d
3,Single_color,REPEAT,color,blue_square,congruent,158.53580000111833,False,False,d
4,Single_color,REPEAT,color,green_circle,congruent,144.3818999978248,True,False,d
5,Single_color,REPEAT,color,green_square,incongruent,172.66270000254735,True,False,d
6,Single_color,REPEAT,color,blue_square,congruent,307.85650000325404,False,False,d
7,Single_color,REPEAT,color,green_square,incongruent,180.22720000590198,True,False,d
8,Single_color,REPEAT,color,green_circle,congruent,22.628999999142252,True,False,d
9,Single_color,REPEAT,color,blue_circle,incongruent,155.72270000120625,False,False,d
10,Single_color,REPEAT,color,green_circle,congruent,75.11950000480283,True,False,d
11,Single_color,REPEAT,color,green_square,incongruent,60.82690000766888,True,False,d
12,Single_color,REPEAT,color,blue_circle,incongruent,63.40270000509918,False,False,d
13,Single_color,REPEAT,color,green_square,incongruent,150.76969999063294,True,False,d
14,Single_color,REPEAT,color,green_circle,congruent,136.93560000683647,True,False,d
15,Single_color,REPEAT,color,green_square,incongruent,8.87689999944996,True,False,d
16,Single_color,REPEAT,color,blue_circle,incongruent,845.624499997939,False,False,d
17,Single_color,REPEAT,color,green_circle,congruent,203.16190000448842,True,False,d
18,Single_color,REPEAT,color,blue_square,congruent,19.855300008202903,False,False,d
19,Single_color,REPEAT,color,green_circle,congruent,144.56989998870995,True,False,d
20,Single_color,REPEAT,color,blue_circle,incongruent,83.93599999544676,False,False,d
21,Single_color,REPEAT,color,blue_square,congruent,117.60539999522734,False,False,d
22,Single_color,REPEAT,color,blue_circle,incongruent,168.58320000756066,False,False,d
23,Single_color,REPEAT,color,blue_square,congruent,18.34160000726115,False,False,d
24,Single_color,REPEAT,color,blue_circle,incongruent,167.50139999203384,False,False,d
25,Single_color,REPEAT,color,blue_square,congruent,65.70629999623634,False,False,d
26,Single_shape,REPEAT,shape,green_circle,congruent,10.384699999121949,True,False,d
27,Single_shape,REPEAT,shape,blue_square,congruent,131.0661000024993,True,False,k
28,Single_shape,REPEAT,shape,green_circle,congruent,79.0314999903785,False,False,k
29,Single_shape,REPEAT,shape,green_square,incongruent,20.970199999283068,True,False,k
30,Single_shape,REPEAT,shape,green_circle,congruent,37.97590000613127,True,False,d
31,Single_shape,REPEAT,shape,green_square,incongruent,418.51049999240786,False,False,d
